Date,Route,Vessel_Type,Freight_Rate_USD_Per_Ton,Bunker_Price,Port_Congestion_Days
2020-01-01,Australia_to_EC_India,Handysize,30.201439798189426,403.02355582268046,7
2020-01-02,Australia_to_EC_India,Handysize,29.7621952088303,407.5952206812861,2
2020-01-03,Australia_to_EC_India,Handysize,29.73260595482683,395.11791783405295,4
2020-01-04,Australia_to_EC_India,Handysize,30.375299469318158,412.0805461259214,5
2020-01-05,Australia_to_EC_India,Handysize,30.42098656200243,402.8110338178215,5
2020-01-06,Australia_to_EC_India,Handysize,31.022434081732424,419.79334851053824,8
2020-01-07,Australia_to_EC_India,Handysize,31.368245401296853,389.16743885823365,9
2020-01-08,Australia_to_EC_India,Handysize,31.289792417600665,402.7675276694446,2
2020-01-09,Australia_to_EC_India,Handysize,31.371467669861612,404.0596769921163,8
2020-01-10,Australia_to_EC_India,Handysize,31.44776223901972,399.25184221346774,4
2020-01-11,Australia_to_EC_India,Handysize,31.360518854051175,404.1078131407948,8
2020-01-12,Australia_to_EC_India,Handysize,31.15308009806263,401.4892613364595,3
2020-01-13,Australia_to_EC_India,Handysize,31.5002645939493,393.39522127089396,7
2020-01-14,Australia_to_EC_India,Handysize,31.867470201351527,392.19776233468207,1
2020-01-15,Australia_to_EC_India,Handysize,31.357151007041125,400.87503231432163,3
2020-01-16,Australia_to_EC_India,Handysize,31.488119638668127,413.2238092238784,7
2020-01-17,Australia_to_EC_India,Handysize,31.84848967772832,430.9662997471127,7
2020-01-18,Australia_to_EC_India,Handysize,32.08655437345733,410.9981048186821,4
2020-01-19,Australia_to_EC_India,Handysize,32.32228403938757,405.26543355070044,8
2020-01-20,Australia_to_EC_India,Handysize,32.038919733978915,399.27294478042063,8
2020-01-21,Australia_to_EC_India,Handysize,32.32835703141235,413.2836834303259,2
2020-01-22,Australia_to_EC_India,Handysize,32.57792999324565,417.4428115183781,9
2020-01-23,Australia_to_EC_India,Handysize,32.30394912895557,401.3140750758801,6
2020-01-24,Australia_to_EC_India,Handysize,32.300905171988894,416.0538852894375,0
2020-01-25,Australia_to_EC_India,Handysize,32.2965632998986,400.3023657475293,7
2020-01-26,Australia_to_EC_India,Handysize,32.74580955290954,421.6713635201459,5
2020-01-27,Australia_to_EC_India,Handysize,32.788722198955874,414.4415278133125,4
2020-01-28,Australia_to_EC_India,Handysize,32.48938510593551,412.2482807109317,6
2020-01-29,Australia_to_EC_India,Handysize,32.505768977050124,394.7506221154425,2
2020-01-30,Australia_to_EC_India,Handysize,32.61959189237099,401.41612532973363,3
2020-01-31,Australia_to_EC_India,Handysize,33.41869158059077,410.21309425169255,4
2020-02-01,Australia_to_EC_India,Handysize,33.288671496299855,389.4556601262489,3
2020-02-02,Australia_to_EC_India,Handysize,33.42905385553657,410.4870954544019,2
2020-02-03,Australia_to_EC_India,Handysize,33.71802283825331,415.98806536371256,5
2020-02-04,Australia_to_EC_India,Handysize,33.21572542051632,402.1177236720021,3
2020-02-05,Australia_to_EC_India,Handysize,33.34748448400814,414.0926487397212,9
2020-02-06,Australia_to_EC_India,Handysize,33.311590680610664,395.790218291909,0
2020-02-07,Australia_to_EC_India,Handysize,33.748915461454025,391.2929565768812,8
2020-02-08,Australia_to_EC_India,Handysize,33.9668910520304,407.0167515561912,6
2020-02-09,Australia_to_EC_India,Handysize,34.119365115921546,391.91176160639304,4
2020-02-10,Australia_to_EC_India,Handysize,33.7846395275746,413.5550420536524,7
2020-02-11,Australia_to_EC_India,Handysize,33.82598678182696,408.44670740253764,7
2020-02-12,Australia_to_EC_India,Handysize,33.556675037453324,418.4457862209852,0
2020-02-13,Australia_to_EC_India,Handysize,33.32819667362683,396.1813051465917,6
2020-02-14,Australia_to_EC_India,Handysize,32.672601519835474,404.1410600799001,0
2020-02-15,Australia_to_EC_India,Handysize,32.76071535908017,407.8552221848396,6
2020-02-16,Australia_to_EC_India,Handysize,33.06760004498093,401.8159123870034,2
2020-02-17,Australia_to_EC_India,Handysize,33.320475832205226,424.15191080392714,9
2020-02-18,Australia_to_EC_India,Handysize,33.89712049204268,411.92552916126004,0
2020-02-19,Australia_to_EC_India,Handysize,33.69771828405938,418.24635602371904,3
2020-02-20,Australia_to_EC_India,Handysize,33.80266359424607,406.57556609601573,0
2020-02-21,Australia_to_EC_India,Handysize,33.93875071575667,392.43532820100927,2
2020-02-22,Australia_to_EC_India,Handysize,34.74794400230914,413.14209299074605,2
2020-02-23,Australia_to_EC_India,Handysize,35.23116642218359,410.46103014286905,3
2020-02-24,Australia_to_EC_India,Handysize,34.93609118613433,409.1421231407441,0
2020-02-25,Australia_to_EC_India,Handysize,35.238732571058485,379.7092101837163,7
2020-02-26,Australia_to_EC_India,Handysize,35.21641411168637,395.5510750961038,8
